Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.214889526367188,24.682221739158916,23.7763496768566,24.671146843393636,212818400
2015-01-05,23.532716751098633,24.064279632140636,23.34667067211943,23.984545115494743,257142000
2015-01-06,23.534936904907227,23.794073292366384,23.173916188735014,23.59695227731193,263188400
2015-01-07,23.864953994750977,23.964621340157734,23.632394602411782,23.743136848327097,160423600
2015-01-08,24.781890869140625,24.83947728974081,24.075355049974863,24.192743208450004,237458000
2015-01-09,24.80847930908203,25.083119615839795,24.409806533310572,24.95465820033648,214798000
2015-01-12,24.197175979614258,24.945792806630894,24.09750865378446,24.939148543547873,198603200
2015-01-13,24.412019729614258,24.983450095288372,24.121875600672528,24.680015748447666,268367600
2015-01-14,24.318988800048828,24.471811893300426,24.03105839224342,24.15066017595681,195826400
2015-01-15,23.658967971801758,24.376577089070306,23.623531339856147,24.363288563314725,240056000
2015-01-16,23.475130081176758,23.827291140841854,23.30015720986781,23.70547405012303,314053200
2015-01-20,24.079795837402344,24.135166964074152,23.58809996218987,23.884888390050264,199599600
2015-01-21,24.26361846923828,24.59805872103091,23.98011699709323,24.13072646769229,194303600
2015-01-22,24.894853591918945,24.91035743649609,24.301275172720366,24.42087698365504,215185600
2015-01-23,25.0233154296875,25.193857723073517,24.702161943737746,24.872705926916115,185859200
2015-01-26,25.049882888793945,25.328953679050635,24.983438589070154,25.19163275595474,222460000
2015-01-27,24.17281150817871,24.912570412240157,24.148448084734664,24.89928019685748,382274800
2015-01-28,25.53937530517578,26.161747854174028,25.53937530517578,26.053219240380972,585908400
2015-01-29,26.334497451782227,26.39872813532269,25.59473862220585,25.763067251836308,337745600
2015-01-30,25.949115753173828,26.57813070202149,25.880454433135018,26.223755963952947,334982000
2015-02-02,26.274696350097656,26.39429814064602,25.709912088376672,26.146236669694193,250956400
2015-02-03,26.27912139892578,26.37657337474587,26.04877744643813,26.24589840475889,207662800
2015-02-04,26.48067855834961,26.691089785876024,26.20382301407181,26.24590559753552,280598800
2015-02-05,26.669681549072266,26.734165723731444,26.51625362672937,26.687468941440304,168984800
2015-02-06,26.44510269165039,26.738615912814105,26.338369840108527,26.68747269934462,174826400
2015-02-09,26.620763778686523,26.647445716847848,26.333921068225507,26.3606047028478,155559200
2015-02-10,27.132184982299805,27.161092674695414,26.718599709283218,26.720822072959173,248034000
2015-02-11,27.76813316345215,27.777027708402922,27.238920462338385,27.29895652017989,294247200
2015-02-12,28.119462966918945,28.34626964549883,27.921563986537944,28.030519204661367,297898000
2015-02-13,28.25732421875,28.301795249028654,27.939351432520557,28.301795249028654,217088800
2015-02-17,28.424095153808594,28.65757232057261,28.22174804975162,28.34849236119064,252609600
2015-02-18,28.62198829650879,28.635329264529332,28.339592032694533,28.379616633216994,179566800
2015-02-19,28.56195068359375,28.69091902994298,28.535268747425526,28.568621167635808,149449600
2015-02-20,28.795427322387695,28.795427322387695,28.473008158366138,28.59975074596782,195793600
2015-02-23,29.57369041442871,29.57369041442871,28.831013589751244,28.911062812304195,283896400
2015-02-24,29.389127731323242,29.707102206832975,29.16676919202935,29.56034475659771,276912400
2015-02-25,28.637556076049805,29.262386449737566,28.495246740191888,29.253490207727708,298846800
2015-02-26,28.999998092651367,29.10005874917597,28.152812664929638,28.637552615299487,365150000
2015-02-27,28.56418228149414,29.033358981619905,28.51526312656748,28.906612973058365,248059200
2015-03-02,28.704261779785156,28.968868972950617,28.528600034237698,28.739839958832356,192386800
2015-03-03,28.764297485351562,28.799875661866288,28.481901222763646,28.675355436986415,151265200
2015-03-04,28.581966400146484,28.808773070180983,28.53305064084708,28.706490037661048,126665200
2015-03-05,28.108348846435547,28.628667108118552,27.963815430480935,28.590866556757582,226068400
2015-03-06,28.150590896606445,28.76652330753673,28.074989807114648,28.55083525175208,291368400
2015-03-09,28.27066421508789,28.81099722348831,27.808158051686863,28.452998147289698,354114000
2015-03-10,27.685863494873047,28.288454960913256,27.5279891281801,28.108345078545167,275426400
2015-03-11,27.181110382080078,27.7436772774365,27.152204379492783,27.739230852600457,275756000
2015-03-12,27.672515869140625,27.77257821643837,27.045464939292476,27.196668793831925,193450800
2015-03-13,27.48128318786621,27.883753182335845,27.256702348939218,27.661394706713487,207309200
2015-03-16,27.783702850341797,27.783702850341797,27.321198310599407,27.545779246523967,143497200
2015-03-17,28.248435974121094,28.310696108982544,27.939357664300708,27.99494731277864,204092400
2015-03-18,28.566402435302734,28.719830373617224,28.09944983193032,28.239535104003725,261083600
2015-03-19,28.35071563720703,28.739843106737325,28.328480121097527,28.62866382972867,183238000
2015-03-20,27.99494171142578,28.55083638851777,27.830396859863175,28.517483963273463,274780400
2015-03-23,28.28622817993164,28.428537502319035,28.13280025254547,28.266216726686977,150838800
2015-03-24,28.170602798461914,28.470784779166674,28.14169510373466,28.290676608620394,131369200
2015-03-25,27.43459129333496,28.199505081055445,27.43459129333496,28.137244972094148,206620800
2015-03-26,27.625823974609375,27.76813330160785,27.261156112118154,27.29673429209827,190291600
2015-03-27,27.40569496154785,27.72811422368741,27.330093858713987,27.699208219038226,158184800
2015-03-30,28.099441528320312,28.10611201123914,27.572451323745504,27.58356992625059,188398800
2015-03-31,27.668073654174805,28.126131711225387,27.652508623977777,28.037187954473346,168362400
2015-04-01,27.6280460357666,27.821498558372735,27.372333399161498,27.75479032396762,162485600
2015-04-02,27.865970611572266,27.91933618318835,27.614706086104803,27.801486434991567,128880400
2015-04-06,28.31736183166504,28.35294001500725,27.645839737461767,27.676969799655623,148776000
2015-04-07,28.019405364990234,28.488580411799642,28.01273487897068,28.38184924256404,140049200
2015-04-08,27.928237915039062,28.106125461485597,27.788152617323846,27.983827561245935,149316800
2015-04-09,28.141700744628906,28.146148866152842,27.719220808765048,27.983826359755124,129936000
2015-04-10,28.26177215576172,28.286231732662372,27.852633226625628,28.006059476821086,160752000
2015-04-13,28.206178665161133,28.588637297522965,28.15281309396547,28.54416287801489,145460400
2015-04-14,28.083881378173828,28.304015835014305,27.99716169225301,28.239531661503285,102098400
2015-04-15,28.19061279296875,28.268437935397202,28.019397479626157,28.108341226599048,115881600
2015-04-16,28.054983139038086,28.26177669740899,28.041642166388808,28.079442719869373,113476000
2015-04-17,27.739229202270508,28.04830745205387,27.674745018986492,27.917116721430638,207828000
2015-04-20,28.37295150756836,28.48857721065811,27.83262014670152,27.92156390871118,188217200
2015-04-21,28.219526290893555,28.50636734678086,28.16615901385577,28.484133526040274,129740400
2015-04-22,28.59975814819336,28.655347790616638,28.088334455775946,28.237314290319635,150618000
2015-04-23,28.833232879638672,29.00000179276501,28.493024568294725,28.52860275072968,183083600
2015-04-24,28.968875885009766,29.046702746129995,28.735398694571785,29.015572680266445,178103600
2015-04-27,29.495861053466797,29.602595603096105,29.162323219950373,29.420259958837757,387816800
2015-04-28,29.031137466430664,29.916123719820707,28.8110046300183,29.898338018087145,475696000
2015-04-29,28.604204177856445,29.260161231898245,28.528603083990692,28.94219012909227,253544400
2015-04-30,27.828174591064453,28.60420550349986,27.701430277592415,28.60420550349986,332781600
2015-05-01,28.673131942749023,28.93551677409575,27.861524660384124,28.039410467610814,234050400
2015-05-04,28.6175479888916,29.033360832273065,28.519709672801845,28.795435527880013,203953200
2015-05-05,27.97270393371582,28.561952684862618,27.968255813068883,28.49524444684628,197085600
2015-05-06,27.797040939331055,28.183944315277262,27.43014901723643,28.141695650753707,288564000
2015-05-07,27.968975067138672,28.152070633388597,27.692097515406704,27.859563034667513,175763600
2015-05-08,28.495927810668945,28.495927810668945,28.158763487350264,28.286037189013378,222201600
2015-05-11,28.20565414428711,28.482529943603403,28.051585348625007,28.444571508121946,168143200
2015-05-12,28.105178833007812,28.330697825742963,27.870726438466505,28.04489029564702,192640000
2015-05-13,28.13644027709961,28.399919425982123,28.105180183465016,28.167700370734202,138776800
2015-05-14,28.79290008544922,28.79290008544922,28.393217269931714,28.4490391015852,180814000
2015-05-15,28.752716064453125,28.913483246079785,28.627675680320152,28.819702957980056,152832000
2015-05-18,29.069774627685547,29.18811662613541,28.661158452868637,28.66562515293105,203531600
2015-05-19,29.042993545532227,29.223855793102462,28.946978192529876,29.181430642270865,178532800
2015-05-20,29.04075813293457,29.246182128079944,28.879990935499887,29.027361434330892,145819600
2015-05-21,29.337730407714844,29.391320608548444,28.989402620034507,29.042992820868108,158921600
2015-05-22,29.594501495361328,29.690516819846707,29.339954073068743,29.384614265161087,182384000
2015-05-26,28.942506790161133,29.677124119570855,28.830863109091734,29.60790558244299,282790400
2015-05-27,29.48285675048828,29.531980234316904,29.038517156439617,29.10326898125325,183332800
2015-05-28,29.4248104095459,29.46276885496646,29.272976627863645,29.442673808642926,122933200
2015-05-29,29.089876174926758,29.351121969971384,29.005025890228723,29.301998479577218,203538000
2015-06-01,29.14793586730957,29.33773152125746,29.03852722121086,29.089882369524446,128451200
2015-06-02,29.018428802490234,29.174729283831766,28.875525018535836,28.99609870211503,134670400
2015-06-03,29.05414581298828,29.237243055991655,29.005022328626115,29.174722877184216,123934000
2015-06-04,28.88445472717285,29.15686559498538,28.783976090673622,28.933578221833795,153800400
2015-06-05,28.725921630859375,28.95814242661696,28.661169786272197,28.915717276982676,142507200
2015-06-08,28.53612518310547,28.850961177235256,28.319536172144808,28.78173923393358,210699200
2015-06-09,28.451276779174805,28.598647263681052,28.049360528202932,28.290509597367066,224301600
2015-06-10,28.777280807495117,28.87999110211272,28.547293357670114,28.56292340731379,156349200
2015-06-11,28.71251678466797,29.067542819658165,28.68795504222306,28.844255490920546,141563600
